Symbol;Name;Meaning;Translation;Tags
sinh x;Hyperbolic Sine Function;hyperbolic sine, sinh x = 1 (ex – e–x);the hyberbolic sine function ($v1);Trigonometry,Physics,Functions & Equations
sup A;Suprenum;supremum of a (numerical) set A... if A = (a,b) or A = (a,b], then sup A = b ;the suprenum of numerical set ($v1);Set Theory
tan x;Tangent function;tangent, odd trigonometric function of period π, tan x = sin x/cos x ;the tangent function ($v1);Trigonometry,Physics,Functions & Equations
tanh x;Hyperbolic Tangent;hyperbolic tangent, tanh x = sinh x/cosh x;the hyperbolic tangent function ($v1);Trigonometry,Physics,Functions & Equations
x;Variable (or Argument);independent variable, argument ;variable (or argument) ($v1);Universal Symbols & Arithmetic,Calculus & Mathematical Analysis,Functions & Equations
x,y,z;Cartesian Coordinates;spatial variables (Cartesian coordinates) ;cartesian co-ordinates ($v1), ($v2) and ($v3);Coordinates
Yν (x);Bessel Function 2;Bessel function of the second kind... Yν (x) = ;bessel function of ($v1);Differential Equations
y;Dependent Variable;dependent variable, function... one often writes y = y(x) or y = f(x) ;(dependent) variable ($v1);Universal Symbols & Arithmetic,Calculus & Mathematical Analysis,Functions & Equations
y'x;First Derivative;first derivative of a function y = f(x), also denoted by y′, <Insert picture here>;first derivative of the function ($v1);Calculus & Mathematical Analysis,Functions & Equations
y’'xx;Second Derivative;"second derivative of a function y = f(x), also denoted by y′′, <Insert picture here>
";second derivative of the function ($v1);Calculus & Mathematical Analysis,Functions & Equations
<insert picture>;nth Derivative;nth derivative of a function y = f(x), also denoted by  <Insert picture here>;nth derivative of the function ($v1);Calculus & Mathematical Analysis,Functions & Equations
z=x+iy;Complex Number;complex number... x is the real part of z, y is the imaginary part of z,i =–1;<not implemented for mvp>;Complex Numbers
z ̄=x–iy;Complex Conjugate Number;complex conjugate number, i2 = –1;<not implemented for mvp>;Complex Numbers
|z|;Modulus;modulus of a complex number... if z=x+iy, then|z|= ;modulus of complex number ($v1);Complex Numbers
Γ(α);Gamma Function;gamma function, Γ(α) = ;a gamma function;Complex Numbers,Functions & Equations,Probability,Combinatorics
γ(α,x);Incomplete Gamma Function;incomplete gamma function, γ(α, x) = ;an incomplete gamma function;Complex Numbers,Functions & Equations,Probability,Combinatorics
Φ(a,b...x);Degenerate Hypergeometric Function;degenerate hypergeometricfunction, Φ(a,b...x) <insert picture here>;a degenerate hypergeometric function;Differential Equations
Δ;Laplace Operator;Laplace operator... in the two dimensional case, <insert picture here>;the laplace transform of;Differential Equations
Δx;Increment of Argument;Increment of the argument;the increment of the argument ($v1);Calculus & Mathematical Analysis,Functions & Equations
Δy;Increment of Function;increment of the function... if y = f(x), then Δy = f(x + Δx) – f(x) ;the increment of the function ($v1);Calculus & Mathematical Analysis,Functions & Equations
π;Pi;the number 'pi' (ratio of the circumference to the diameter), π = 3.141592 . . .;3.141592…. (irrational number pi);Universal Symbols & Arithmetic,Geometry
